Ticker Symbol,Average volume,3 days ago's volume,3 days ago's daily change,2 days ago's volume,2 days ago's daily change,1 day ago's volume,1 day ago's daily change,0 days ago daily %
SPY,78952150.0,76160400,nan,76982300,nan,70637200,nan,0.515011316917624
gme,2443950.0,1.3301008613105834,0.006964362038370447,0.9839399333046912,-0.016505629826632454,0.7731745739479122,0.007874038154404185,-0.0033641682672861085
gme,2443950.0,1.3301008613105834,0.6964362038370447,0.9839399333046912,-1.6505629826632455,0.7731745739479122,0.7874038154404186,-0.33641682672861084
